	734.6	OPEN LONG	none	muted
2026-05-24T08:28:24.796Z	740.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:28:24.797Z	740.TP1	TICK-PAIR CLOSE	0.9770 → tick 0.9770	info
2026-05-24T08:28:24.797Z	740.TP2	OSC 1/6	P1a=0.9770 — waiting for P1b	muted
2026-05-24T08:28:24.797Z	740.9	OSC COUNTER	0/3 · step=2/6 P1a=0.9770	muted
2026-05-24T08:28:24.798Z	740.10	WAITING FOR BAND	A-B-A-B-A-B · step 2/6 · counter=0/3	muted
2026-05-24T08:28:24.799Z	740.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:28:44.802Z	741.1	POLL START	fetching 4 candles	muted
2026-05-24T08:28:45.375Z	741.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:28:45.376Z	741.3	LAST CLOSE	0.9780	info
2026-05-24T08:28:45.377Z	741.4	TICK SIZE	0.001000	info
2026-05-24T08:28:45.378Z	741.5	inOsc / dir	false / LONG	muted
2026-05-24T08:28:45.378Z	741.6	OPEN LONG	none	muted
2026-05-24T08:28:45.379Z	741.7	OPEN SHORT	none	muted
2026-05-24T08:28:45.379Z	741.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:28:45.379Z	741.TP1	TICK-PAIR CLOSE	0.9780 → tick 0.9780	info
2026-05-24T08:28:45.380Z	741.TP2	OSC 2/6	P1a=0.9770 P1b=0.9780 counter=1 — need c3=P1a	warn
2026-05-24T08:28:45.381Z	741.9	OSC COUNTER	1/3 · step=3/6 P1a=0.9770 P1b=0.9780	muted
2026-05-24T08:28:45.381Z	741.10	WAITING FOR BAND	A-B-A-B-A-B · step 3/6 · counter=1/3	muted
2026-05-24T08:28:45.383Z	741.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:29:05.387Z	742.1	POLL START	fetching 4 candles	muted
2026-05-24T08:29:05.959Z	742.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:29:05.960Z	742.3	LAST CLOSE	0.9770	info
2026-05-24T08:29:05.961Z	742.4	TICK SIZE	0.001000	info
2026-05-24T08:29:05.961Z	742.5	inOsc / dir	false / LONG	muted
2026-05-24T08:29:05.962Z	742.6	OPEN LONG	none	muted
2026-05-24T08:29:05.962Z	742.7	OPEN SHORT	none	muted
2026-05-24T08:29:05.963Z	742.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:29:05.963Z	742.TP1	TICK-PAIR CLOSE	0.9770 → tick 0.9770	info
2026-05-24T08:29:05.964Z	742.TP2	OSC 3/6	c3=P1a ✓ counter=2 — need c4=P1b	warn
2026-05-24T08:29:05.964Z	742.9	OSC COUNTER	2/3 · step=4/6 P1a=0.9770 P1b=0.9780	muted
2026-05-24T08:29:05.965Z	742.10	WAITING FOR BAND	A-B-A-B-A-B · step 4/6 · counter=2/3	muted
2026-05-24T08:29:05.967Z	742.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:29:25.971Z	743.1	POLL START	fetching 4 candles	muted
2026-05-24T08:29:26.541Z	743.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:29:26.542Z	743.3	LAST CLOSE	0.9770	info
2026-05-24T08:29:26.543Z	743.4	TICK SIZE	0.001000	info
2026-05-24T08:29:26.544Z	743.5	inOsc / dir	false / LONG	muted
2026-05-24T08:29:26.544Z	743.6	OPEN LONG	none	muted
2026-05-24T08:29:26.545Z	743.7	OPEN SHORT	none	muted
2026-05-24T08:29:26.545Z	743.8	CANDLE	NEW — processing tick-pair	ok
2026-05-24T08:29:26.546Z	743.TP1	TICK-PAIR CLOSE	0.9770 → tick 0.9770	info
2026-05-24T08:29:26.546Z	743.TP2	OSC RESET	c4 0.9770 ≠ P1b 0.9780 → restart	muted
2026-05-24T08:29:26.547Z	743.9	OSC COUNTER	0/3 · step=1/6	muted
